,Unnamed: 0,place_name,place_pic,place_rating,place_review_count,place_link,country,state,city,open_time,about,address,how_to,nearby_restaurant,nearby_attractions,review_Excellent,review_Very_good,review_Average,review_Poor,review_Terrible,start_time,end_time
0,0, Central Park,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/90/ab/88/central-park-manhattan.jpg?w=500&h=400&s=1,4.5,"133,797",https://www.tripadvisor.ca/Attraction_Review-g60763-d105127-Reviews-Central_Park-New_York_City_New_York.html,United States,New York (NY),New York City,6:00 AM - 1:00 AM,"For more than 150 years, visitors have flocked to Central Park's 843 green acres in the heart of Manhattan. Since 1980, the Park has been managed by the Central Park Conservancy, in partnership with the public. Central Park is open 6 am to 1 am daily. Visit the official website of Central Park to learn more about Park happenings and activities and to learn how you to help Central Park!","59th to 110th Street Manhattan Borough, from Central Park West to 5th Avenue, New York City, NY 10022","81st St – Museum of Natural History • 6 min walk,86th St • 7 min walk","The Consulate UWS,Cafe Sabarsky,The Met Dining Room","Tsuneyogawa Kyoryo,The Metropolitan Museum of Art,Cleopatra's Needle",104077,25534,3751,318,128,6,1
1,1, The National  Memorial  Museum,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/b3/aa/b3/911-memorial-nyc.jpg?w=500&h=-1&s=1,4.5,"96,567",https://www.tripadvisor.ca/Attraction_Review-g60763-d1687489-Reviews-The_National_9_11_Memorial_Museum-New_York_City_New_York.html,United States,New York (NY),New York City,,"Through commemoration, exhibitions and educational programs, The National September 11 Memorial & Museum, a nonprofit in New York City, remembers and honors the 2,983 people killed in the horrific attacks of September 11, 2001, and February 26, 1993, as well as those who risked their lives to save others and all who demonstrated extraordinary compassion in the aftermath of the attacks.

9/11 Memorial, Open Daily, 7-days, 10 a.m. to 5 p.m.

9/11 Memorial Museum, Open Thursday–Monday, 10 a.m. to 5 p.m.

Thanksgiving and Christmas: Memorial Only, 10 a.m. to 4 p.m.; Museum Closed","180 Greenwich St World Trade Center, New York City, NY 10007-0089","Cortlandt St • 3 min walk,Chambers St • 4 min walk","Bill's Bar & Burger,Kuu Ramen,O'Hara's Restaurant & Pub","World Trade Center Memorial Foundation,World Trade Center Station (PATH),One World Trade Center",75957,15699,3701,755,469,-1,-1
2,2, Empire State Building,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/9d/74/9f/photo0jpg.jpg?w=500&h=-1&s=1,4.5,"94,021",https://www.tripadvisor.ca/Attraction_Review-g60763-d104365-Reviews-Empire_State_Building-New_York_City_New_York.html,United States,New York (NY),New York City,9:00 AM - 12:00 AM,"The Empire State Building is the World's Most Famous Building. It rises 1,454 ft from ground to antenna & features the only 360 degree open-air vantage point of Midtown. The 86th & 102nd Fl Observatories are open daily, see esbnyc.com for hours. On a clear day you can see up to 6 states. The brand-new 2nd floor museum (included in all ticket options) offers guests 10,000 sq ft of interactive exhibits that invite visitors on a journey beginning from the building’s construction to its current place in pop culture. The 102nd Fl Obs features floor-to-ceiling windows and a glass elevator with sound & light experience. It is the jewel of NYC. All signage, audio & exhibits in the building are available in 9 languages. We offer free Wi-Fi. The 34th St Lobby entrance features a grand staircase with a 2-story architectural model of the bldg & a high-tech LED exhibit that celebrates lighting ceremonies performed by famous, celebrity guests. Express guests receive red carpet VIP treatment.","20 West 34th Street, New York City, NY 10001","34th St – Herald Square • 3 min walk,33rd St • 5 min walk","Katherine,Royal 35 Steakhouse,Izakaya MEW","Manhattan Skyline,Fifth Avenue,Koreatown",61244,21688,7109,2335,1666,9,0
3,3, Fountains of Bellagio,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/11/13/7f/fontaines-du-bellagio.jpg?w=500&h=400&s=1,4.5,"92,169",https://www.tripadvisor.ca/Attraction_Review-g45963-d127003-Reviews-Fountains_of_Bellagio-Las_Vegas_Nevada.html,United States,Nevada (NV),Las Vegas,3:00 PM - 12:00 AM,"Every night, over 1,000 fountains sway and dance to music and lights on an artificial lake in front of the Bellagio Resort.","3600 Las Vegas Blvd S Bellagio Hotel & Casino, Las Vegas, NV 89109-4303","Bally's / Paris Las Vegas Station • 5 min walk,Flamingo / Caesars Palace Station • 9 min walk","Garrett Popcorn Shops,Le Cirque,Restaurant Guy Savoy","Bellagio Conservatory & Botanical Garden,The Strip,Casino at Bellagio",71430,16680,3437,426,206,15,0
4,4, Alcatraz Island,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/7c/af/88/aerial-shot-of-alcatraz.jpg?w=500&h=400&s=1,4.5,"55,986",https://www.tripadvisor.ca/Attraction_Review-g60713-d102523-Reviews-Alcatraz_Island-San_Francisco_California.html,United States,California (CA),San Francisco,,"Alcatraz Island was once the most secure federal prison in the U.S., and held notorious inmates like Al Capone. After being decommissioned in 1963, the prison is now a museum, welcoming millions of curious travelers every year. Catch the ferry on Pier 33 to Alcatraz and explore the island at your own pace as you soak up the views of San Francisco and the bay.

You can take a guided tour with a park ranger to learn more about the intriguing anecdotes about the facility’s fascinating history. But book your spots early—tickets sell out fast. 

– Tripadvisor",See all,,"Scoma's Restaurant,Blue Mermaid Restaurant,Norman's Ice Cream and Freezes","Alcatraz Island Lighthouse,Golden Gate Bridge,Pier 39",42032,11452,1943,291,271,-1,-1
5,5, Top of the Rock,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/64/68/68/new-york-traumblick-auf.jpg?w=500&h=400&s=1,4.5,"79,880",https://www.tripadvisor.ca/Attraction_Review-g60763-d587661-Reviews-Top_of_the_Rock-New_York_City_New_York.html,United States,New York (NY),New York City,9:00 AM - 12:00 AM,"Top of the Rock Observation Deck, the newly opened, 3-tiered observation deck on the 67th, 69th and 70th floors of 30 Rockefeller Plaza, is New York City's most amazing attraction! The unforgettable experience includes a panoramic 360-degree, unobstructed view from the 70th floor observatory, 850 feet in the sky! Hours of Operation: 8:00 AM - Midnight, last elevator goes up at 11:00 PM.Main entrance is located on 50th Street between 5th & 6th Avenues.","30 Rockfeller Plaza Enter on West 50th Street, between 5th & 6th Avenues, New York City, NY 10111","47–50 Sts – Rockefeller Center • 2 min walk,5th Ave / 53rd St • 5 min walk","La Grande Boucherie,Bill's Bar & Burger,Ocean Prime","Rockefeller Center,Radio City Music Hall,Christmas Spectacular Starring the Radio City Rockettes",58559,16890,3367,663,416,9,0
6,6, The Metropolitan Museum of Art,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/61/95/89/the-met-fifth-avenue.jpg?w=500&h=-1&s=1,5.0,"55,076",https://www.tripadvisor.ca/Attraction_Review-g60763-d105125-Reviews-The_Metropolitan_Museum_of_Art-New_York_City_New_York.html,United States,New York (NY),New York City,,"At New York City's most visited museum and attraction, you will experience over 5,000 years of art from around the world. The Met is for anyone as a source of inspiration, insight and understanding. You can learn, escape, play, dream, discover, connect.","1000 5th Ave, New York City, NY 10028-0198","86th St • 8 min walk,77th St • 9 min walk","Lady M Cake Boutique,Bemelmans Bar,Cafe Sabarsky","Central Park,Cleopatra's Needle,Ancient Playground",44318,8706,1626,282,157,-1,-1
7,7, Sugarlands Distilling Company,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/6a/63/84/tucked-into-the-great.jpg?w=500&h=-1&s=1,5.0,"30,139",https://www.tripadvisor.ca/Attraction_Review-g60842-d6429868-Reviews-Sugarlands_Distilling_Company-Gatlinburg_Tennessee.html,United States,Tennessee (TN),Sevier County,10:00 AM - 10:30 PM,"Sugarlands Distilling Company is conveniently located in downtown Gatlinburg. Visitors who come to the barn-style distillery can take a behind-the-scenes tour of our still house and learn firsthand how we make our authentic Sugarlands spirits. Adults over the age of 21 can take a guided tasting flight of our spirits at the Sippin' Posts. Our Back Porch stage offers free shows covering many genres, open to guests of all ages. REMEMBER TO ALWAYS SIP WISELY.","805 Parkway, Gatlinburg, TN 37738-3248",,"Tennessee Jed’s,New Orleans Sandwich Company,Cherokee Grill","Ripley's Believe It or Not! Gatlinburg,Reagan Terrace Mall,Gatlinburg SkyLift Park",29051,737,171,68,115,10,22
8,8, The High Line,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/92/81/32/photo1jpg.jpg?w=500&h=400&s=1,4.5,"62,873",https://www.tripadvisor.ca/Attraction_Review-g60763-d519474-Reviews-The_High_Line-New_York_City_New_York.html,United States,New York (NY),New York City,7:00 AM - 7:00 PM,"This elevated railway turned public park provides fantastic views of the Hudson River and New York City skyline on Manhattan's West Side. The 1.5-mile High Line draws travelers to its lush horticulture, art installations and community programs. Here, you can have a leisure stroll along the structure and admire colorful murals and installations all around. Other must-sees of the area include the Chelsea Market, the Whitney Museum of American Art and the Vessel.

Hear the story behind this unique greenway on a free tour led by knowledgeable guides which takes place on some days. – Tripadvisor","Gansevoort St To W. 30 St. Between Washington St. and 11 Ave, New York City, NY 10011","14th St / 8th Ave • 6 min walk,8th Ave • 6 min walk","Filaga Pizzeria,Los Tacos No. 1,Cull & Pistol","Allouche Gallery,Wanderlust,Whitney Museum of American Art",40612,16736,4538,771,229,7,19
9,9, The National WWII Museum,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/18/68/e5/the-national-wwii-museum.jpg?w=500&h=-1&s=1,5.0,"30,749",https://www.tripadvisor.ca/Attraction_Review-g60864-d106440-Reviews-The_National_WWII_Museum-New_Orleans_Louisiana.html,United States,Louisiana (LA),New Orleans,9:00 AM - 5:00 PM,"The National WWII Museum is the top-rated tourist destination in New Orleans and #2 in the U.S., and an unforgettable way to experience World War II—from industrial efforts on the home front to the combat experience of the American servicemember abroad. Offering a compelling blend of sweeping narrative and poignant personal detail, the Museum features immersive exhibits, multimedia experiences, and an expansive collection of artifacts and first-person oral histories to take visitors inside the story of the war: why it was fought, how it was won, and what it means today. Beyond the galleries, the Museum offers unique access to experiential history, including an opportunity to tour and ride on an authentically restored PT-boat, tours behind the scenes to handle artifacts alongside Museum curators, and an impressive collection of restored and working macro-artifacts to discover. Open early through 1/2/18, 8:30 a.m.-5:00 p.m.","945 Magazine Street, New Orleans, LA 70130-3813",,"Mais Arepas,Cochon Butcher,Carmo","Ogden Museum of Southern Art,Memorial Hall Confederate Civil War Museum,Contemporary Arts Center, New Orleans",25592,3937,935,204,92,9,17
10,10, Golden Gate Bridge,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/32/dd/10/golden-gate-bridge.jpg?w=500&h=-1&s=1,4.5,"49,716",https://www.tripadvisor.ca/Attraction_Review-g60713-d104675-Reviews-Golden_Gate_Bridge-San_Francisco_California.html,United States,California (CA),San Francisco,,"Stretching 4,200 feet and towering as high as a 65-story building, this well-known bridge is the gateway to San Francisco.","US-101, San Francisco, CA 94129",,"The Warming Hut,Equator Coffees Round House Cafe,Farley","Crissy Field Marsh,San Francisco Bay,Fort Point National Historic Site",37190,10331,1909,183,105,-1,-1
11,11, Universals Islands of Adventure,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/09/e0/eb/universal-s-islands-of.jpg?w=500&h=-1&s=1,4.5,"52,231",https://www.tripadvisor.ca/Attraction_Review-g34515-d258685-Reviews-Universal_s_Islands_of_Adventure-Orlando_Florida.html,United States,Florida (FL),Central Florida,9:00 AM - 9:00 PM,"Prepare for a place where super heroes, beasts, and magical creatures stand before you. You're entering lands where everything is real. Explore a secret school of witchcraft and wizardry. Fly high above the city streets with a famous web slinger. Hide from hungry dinosaurs and hope you're not their next meal. And you can face the most colossal ape ever to walk the earth. Let the adventures begin.","6000 Universal Blvd, Orlando, FL 32819-7640",,"Mythos Restaurant,Strong Water Tavern,Vivo Italian Kitchen","Jurassic World Velocicoaster,Camp Jurassic,The Wizarding World of Harry Potter",38610,9428,2704,828,664,9,21
12,12, The Wizarding World of Harry Potter,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/5b/88/11/the-wizarding-world-of.jpg?w=500&h=400&s=1,5.0,"41,303",https://www.tripadvisor.ca/Attraction_Review-g34515-d1968468-Reviews-The_Wizarding_World_of_Harry_Potter-Orlando_Florida.html,United States,Florida (FL),Central Florida,9:00 AM - 9:00 PM,"Step inside a world where magic is real. Within Universal’s Islands of Adventure™ theme park you can visit the iconic Hogwarts™ castle and explore Hogsmeade™ village. And, at Universal Studios Florida™ theme park, you can enter Diagon Alley™ to enjoy a multi-dimensional thrill ride, magical experiences, and more. Get ready to explore more of Harry Potter’s world than ever before. With a Park-to-Park Ticket, you can board the Hogwarts™ Express* and travel between both Hogsmeade™ in Universal’s Islands of Adventure™ and Diagon Alley™ in Universal Studios Florida™. *Park-to-Park admission ticket required and additional restrictions apply","6000 Universal Boulevard Islands Of Adventure, Orlando, FL 32819-7640",,"Florean Fortescue's Ice Cream Parlour,The Leaky Cauldron,Finnegan’s Bar & Grill","Universal Studios Florida,Universal's Islands of Adventure,Fun Spot America",34519,4886,1260,378,262,9,21
13,13, Statue of Liberty,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/ba/d3/e8/statue-of-liberty_rotated_90.jpg?w=500&h=400&s=1,4.5,"43,901",https://www.tripadvisor.ca/Attraction_Review-g60763-d103887-Reviews-Statue_of_Liberty-New_York_City_New_York.html,United States,New York (NY),New York City,8:30 AM - 4:00 PM,"The Statue of Liberty Enlightening the World was a gift of friendship from the people of France to the people of the United States and is a universal symbol of freedom and democracy. The Statue of Liberty was dedicated on October 28, 1886, designated as a National Monument in 1924 and restored for her centennial on July 4, 1986.","Liberty Island, New York City, NY 10004",,"Statue of Liberty Crown Cafe,Ellis Island Cafe,Liberty House Restaurant","Centre Régional d’Histoire de la Résistance Véran Cambon de la Valette,National Park Service - Information Center on Liberty Island,Museo de la Estatua de la Libertad",27742,11269,3786,719,389,8,16
14,14, Louisville Mega Cavern,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/31/4b/cd/view-of-the-challenge.jpg?w=500&h=-1&s=1,5.0,"19,090",https://www.tripadvisor.ca/Attraction_Review-g39604-d1887189-Reviews-Louisville_Mega_Cavern-Louisville_Kentucky.html,United States,Kentucky (KY),Louisville,10:00 AM - 6:00 PM,"While visiting Louisville, Kentucky, you won't want to miss MEGA ZIPS, the world's ONLY underground zipline adventure tour! Featuring 6 ziplines nearly 100 feet off the cavern floor and two challenge bridges, MEGA ZIPS is 2.5 hours of adrenaline-fueled adventure! Though fun for the whole family, the kids will especially love MEGA QUEST, the only underground ropes challenge course in the world! MEGA QUEST features two levels and 76 challenge elements including mini-ziplines and rope walls. Explore at your own pace in this 2-hour adventure! Heights aren't your thing? No problem! Enjoy the jumps in our 320,000 square foot BMX & MTB MEGA BIKE PARK, explore the furthest parts of the cavern on our MEGA eBIKE tour, or enjoy a seated historical tour of the cavern on our MEGA TRAM.","1841 Taylor Avenue, Louisville, KY 40213-1565",,"Louie's Hot Chicken and Barbecue,Frisch's Big Boy,Wendy's","Louisville Zoo,Conrad-Caldwell House Museum (Conrad's Castle),Cave Hill Cemetery",16361,1799,485,195,279,10,18
15,15, USS Midway Museum,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/18/10/41/caption.jpg?w=500&h=400&s=1,5.0,"25,492",https://www.tripadvisor.ca/Attraction_Review-g60750-d531819-Reviews-USS_Midway_Museum-San_Diego_California.html,United States,California (CA),San Diego,10:00 AM - 5:00 PM,"Located in downtown San Diego, the USS Midway (Museum) was America’s longest-serving aircraft carrier of the 20th century. Today, the interactive museum is an unforgettable adventure for the entire family as guests walk in the footsteps of the 225,000 young men who served on Midway. Visitors explore a floating city at sea, the amazing flight deck and its 29 restored aircraft, flight simulators, and are inspired in the Battle of Midway Theater, included with admission. Admission also includes a self-guided audio tour narrated by Midway sailors in English, Mandarin, Spanish, Japanese, French and German. Visiting Midway is a once-in-a-lifetime experience in San Diego, known around the world as ""Navy Town, USA.""","910 N Harbor Drive, San Diego, CA 92101-5811",Santa Fe Depot • 8 min walk,"Top of the Market - San Diego,The Fish Market - San Diego,Eddie V's Prime Seafood","The Unconditional Surrender,A National Salute to Bob Hope & the Military,The Homecoming Statue",20068,4843,507,49,31,10,17
16,16, San Diego Zoo,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/40/79/20/san-diego-zoo.jpg?w=500&h=-1&s=1,4.5,"29,035",https://www.tripadvisor.ca/Attraction_Review-g60750-d104122-Reviews-San_Diego_Zoo-San_Diego_California.html,United States,California (CA),San Diego,,"The San Diego Zoo pioneered cageless exhibits and offers travelers a fun and informative experience. Featuring over 4000 animals, the park gives you a peek into the wildlife of several ecosystems, from deserts to rainforests. Ride the tour bus, which crosses three quarters of the zoo’s area, and learn more about the animals from the guide as you view them in their natural habitats. You can also hop on the Skyfari gondola lift to see the entire park from above. 

Tickets to the San Diego Zoo that also cover the San Diego Zoo Safari Park in Escondido are available for a discount. 

– Tripadvisor","2929 Zoo Drive Balboa Park, San Diego, CA 92101",,"Prado,Albert's Restaurant,Panama 66","Balboa Park Carousel,Spanish Village Art Center,Balboa Park",20779,5704,1876,468,221,-1,-1
